,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coef,ticker
0,2021-07-01,191.72,193.38,191.72,191.94,191.94,206605.0,0.0,1.0,DEO
1,2021-06-30,193.04,193.91,191.19,191.69,191.69,351356.0,0.0,1.0,DEO
2,2021-06-29,193.65,194.0,192.4,192.89,192.89,272958.0,0.0,1.0,DEO
3,2021-06-28,193.88,194.25,193.23,193.64,193.64,207417.0,0.0,1.0,DEO
4,2021-06-25,193.53,194.21,193.31,193.98,193.98,223506.0,0.0,1.0,DEO
5,2021-06-24,193.95,194.82,193.64,194.37,194.37,239358.0,0.0,1.0,DEO
6,2021-06-23,196.62,196.82,193.82,193.93,193.93,437810.0,0.0,1.0,DEO
7,2021-06-22,194.93,195.46,194.5,194.74,194.74,334946.0,0.0,1.0,DEO
8,2021-06-21,193.36,194.69,192.06,194.34,194.34,409804.0,0.0,1.0,DEO
9,2021-06-18,192.35,192.61,190.67,190.8,190.8,432777.0,0.0,1.0,DEO
10,2021-06-17,192.17,194.7424,192.17,194.14,194.14,263440.0,0.0,1.0,DEO
11,2021-06-16,197.34,197.67,194.865,195.14,195.14,684682.0,0.0,1.0,DEO
12,2021-06-15,195.8,196.02,195.0,195.76,195.76,505748.0,0.0,1.0,DEO
13,2021-06-14,193.71,194.66,193.51,194.45,194.45,266081.0,0.0,1.0,DEO
14,2021-06-11,194.49,194.72,193.27,194.34,194.34,268487.0,0.0,1.0,DEO
15,2021-06-10,194.69,195.8789,194.51,194.95,194.95,378486.0,0.0,1.0,DEO
16,2021-06-09,194.94,195.44,194.35,194.42,194.42,339088.0,0.0,1.0,DEO
17,2021-06-08,194.58,194.69,193.17,193.94,193.94,256344.0,0.0,1.0,DEO
18,2021-06-07,194.4,194.59,193.08,193.16,193.16,245795.0,0.0,1.0,DEO
19,2021-06-04,193.16,193.25,192.43,192.62,192.62,332674.0,0.0,1.0,DEO
20,2021-06-03,191.85,192.88,191.53,192.88,192.88,459292.0,0.0,1.0,DEO
21,2021-06-02,194.03,195.025,193.92,194.52,194.52,442984.0,0.0,1.0,DEO
22,2021-06-01,194.21,194.42,193.14,193.69,193.69,632796.0,0.0,1.0,DEO
23,2021-05-28,192.24,193.7,192.24,193.25,193.25,311326.0,0.0,1.0,DEO
24,2021-05-27,192.69,193.07,192.08,192.9,192.9,354718.0,0.0,1.0,DEO
25,2021-05-26,192.41,193.24,192.21,192.72,192.72,322806.0,0.0,1.0,DEO
26,2021-05-25,191.69,192.677,191.19,192.14,192.14,309116.0,0.0,1.0,DEO
27,2021-05-24,191.35,192.12,191.19,191.76,191.76,387183.0,0.0,1.0,DEO
28,2021-05-21,192.62,192.87,190.55,191.03,191.03,287001.0,0.0,1.0,DEO
29,2021-05-20,190.88,192.88,190.88,192.0,192.0,418755.0,0.0,1.0,DEO
30,2021-05-19,189.53,190.71,188.34,190.0,190.0,315311.0,0.0,1.0,DEO
31,2021-05-18,190.11,190.89,189.73,189.83,189.83,340292.0,0.0,1.0,DEO
32,2021-05-17,189.45,190.74,189.45,189.75,189.75,322269.0,0.0,1.0,DEO
33,2021-05-14,188.11,189.6952,188.04,189.21,189.21,380018.0,0.0,1.0,DEO
34,2021-05-13,183.65,186.78,183.62,186.34,186.34,344942.0,0.0,1.0,DEO
35,2021-05-12,186.97,187.04,184.3786,184.57,184.57,505715.0,0.0,1.0,DEO
36,2021-05-11,180.23,180.78,179.22,180.39,180.39,249575.0,0.0,1.0,DEO
37,2021-05-10,184.16,184.66,182.8722,183.41,183.41,429862.0,0.0,1.0,DEO
38,2021-05-07,182.12,183.73,181.96,183.24,183.24,215787.0,0.0,1.0,DEO
39,2021-05-06,180.86,182.06,179.9311,181.7,181.7,361213.0,0.0,1.0,DEO
40,2021-05-05,180.8,181.21,179.56,179.7,179.7,549200.0,0.0,1.0,DEO
41,2021-05-04,180.98,181.48,179.45,179.76,179.76,395280.0,0.0,1.0,DEO
42,2021-05-03,180.29,180.89,179.75,180.31,180.31,506249.0,0.0,1.0,DEO
43,2021-04-30,181.48,181.94,179.24,179.35,179.35,305974.0,0.0,1.0,DEO
44,2021-04-29,182.4,183.39,181.33,183.36,183.36,529695.0,0.0,1.0,DEO
45,2021-04-28,180.59,181.28,179.78,180.07,180.07,327633.0,0.0,1.0,DEO
46,2021-04-27,179.48,179.82,178.96,179.16,179.16,624957.0,0.0,1.0,DEO
47,2021-04-26,179.68,179.99,178.23,178.96,178.96,410006.0,0.0,1.0,DEO
48,2021-04-23,181.41,182.62,180.85,181.94,181.94,796662.0,0.0,1.0,DEO
49,2021-04-22,182.75,183.73,180.96,181.0,181.0,840429.0,0.0,1.0,DEO
50,2021-04-21,179.15,180.85,179.065,180.41,180.41,292291.0,0.0,1.0,DEO
51,2021-04-20,178.79,179.22,177.9825,178.6,178.6,364094.0,0.0,1.0,DEO
52,2021-04-19,179.19,181.0,178.845,180.77,180.77,618243.0,0.0,1.0,DEO
53,2021-04-16,178.39,179.11,178.02,178.98,178.98,261583.0,0.0,1.0,DEO
54,2021-04-15,177.56,178.8,177.43,178.61,178.61,347284.0,0.0,1.0,DEO
55,2021-04-14,174.7,174.93,173.81,174.07,174.07,233323.0,0.0,1.0,DEO
56,2021-04-13,172.7,174.115,172.3715,173.63,173.63,366489.0,0.0,1.0,DEO
57,2021-04-12,173.1,174.34,173.05,173.58,173.58,327143.0,0.0,1.0,DEO
58,2021-04-09,175.3,175.5787,174.04,175.53,175.53,646223.0,0.0,1.0,DEO
59,2021-04-08,174.69,175.4,173.91,174.98,174.98,636495.0,0.0,1.0,DEO
60,2021-04-07,171.47,171.49,169.15,169.66,169.66,318811.0,0.0,1.0,DEO
61,2021-04-06,168.98,170.74,168.9,170.08,170.08,311613.0,0.0,1.0,DEO
62,2021-04-05,167.63,169.86,167.53,169.22,169.22,197345.0,0.0,1.0,DEO
63,2021-04-01,166.94,167.88,165.78,167.44,167.44,411208.0,0.0,1.0,DEO
64,2021-03-31,165.74,166.01,164.13,164.21,164.21,337172.0,0.0,1.0,DEO
65,2021-03-30,166.3,167.04,165.81,166.05,166.05,343703.0,0.0,1.0,DEO
66,2021-03-29,165.39,167.78,165.31,167.48,167.48,301710.0,0.0,1.0,DEO
67,2021-03-26,164.64,165.9,163.94,165.71,165.71,284695.0,0.0,1.0,DEO
68,2021-03-25,166.15,166.16,163.41,164.76,164.76,307021.0,0.0,1.0,DEO
69,2021-03-24,165.11,165.63,164.42,164.76,164.76,303525.0,0.0,1.0,DEO
70,2021-03-23,165.76,166.67,165.34,165.66,165.66,409081.0,0.0,1.0,DEO
71,2021-03-22,165.58,167.159,165.34,166.62,166.62,514927.0,0.0,1.0,DEO
72,2021-03-19,167.21,167.73,166.29,167.19,167.19,418112.0,0.0,1.0,DEO
73,2021-03-18,167.73,169.89,167.73,168.48,168.48,370180.0,0.0,1.0,DEO
74,2021-03-17,169.73,170.39,168.95,169.42,169.42,311374.0,0.0,1.0,DEO
75,2021-03-16,168.54,170.09,168.176,169.37,169.37,458080.0,0.0,1.0,DEO
76,2021-03-15,168.84,168.84,166.9,167.65,167.65,272055.0,0.0,1.0,DEO
77,2021-03-12,165.98,167.7892,165.81,167.73,167.73,265423.0,0.0,1.0,DEO
78,2021-03-11,167.38,167.8075,166.41,167.04,167.04,351967.0,0.0,1.0,DEO
79,2021-03-10,166.51,168.035,165.35,167.36,167.36,435245.0,0.0,1.0,DEO
80,2021-03-09,165.47,165.69,164.48,164.74,164.74,368284.0,0.0,1.0,DEO
81,2021-03-08,161.44,163.7019,161.2,162.07,162.07,341897.0,0.0,1.0,DEO
82,2021-03-05,162.44,164.38,161.5,164.22,164.22,722738.0,0.0,1.0,DEO
83,2021-03-04,162.08,164.43,159.91,161.14,161.14,639587.0,0.0,1.0,DEO
84,2021-03-03,159.87,161.49,159.74,160.08,160.08,304722.0,0.0,1.0,DEO
85,2021-03-02,160.62,161.5,160.13,160.74,160.74,384428.0,0.0,1.0,DEO
86,2021-03-01,159.08,161.14,158.77,159.36,159.36,513797.0,0.0,1.0,DEO
87,2021-02-26,159.79,159.84,156.66,157.74,157.74,956615.0,0.0,1.0,DEO
88,2021-02-25,165.63,166.085,161.03,161.53,161.53,371064.0,1.535,1.0,DEO
89,2021-02-24,164.93,167.61,164.84,167.25,165.67560482,418188.0,0.0,1.0,DEO
90,2021-02-23,165.48,166.78,165.0,166.38,164.813794499,365159.0,0.0,1.0,DEO
91,2021-02-22,164.8,166.21,164.17,165.51,163.951984178,531967.0,0.0,1.0,DEO
92,2021-02-19,168.99,168.99,167.15,167.41,165.834098672,1031392.0,0.0,1.0,DEO
93,2021-02-18,167.17,169.99,167.07,169.48,167.884612884,387026.0,0.0,1.0,DEO
94,2021-02-17,168.72,169.5,167.96,169.25,167.656777972,246880.0,0.0,1.0,DEO
95,2021-02-16,170.35,170.37,168.4809,169.51,167.914330482,402515.0,0.0,1.0,DEO
96,2021-02-12,166.66,167.5,166.3484,167.08,165.507205102,225594.0,0.0,1.0,DEO
97,2021-02-11,167.87,168.26,166.66,167.12,165.546828565,779503.0,0.0,1.0,DEO
98,2021-02-10,165.33,166.28,164.24,164.88,163.327914635,323072.0,0.0,1.0,DEO
99,2021-02-09,165.71,166.525,165.54,166.21,164.645394781,359007.0,0.0,1.0,DEO
